成果発生年度,発表区分,国内/国際,国際共著,タイトル,著者,会議名,DOI,発表年月日,掲載巻,掲載号,掲載開始ページ,掲載終了ページ,論文ステータス区分
2021,ポスター・デモ,国際,有,Exponential escape efficiency of SGD from sharp minima in non-stationary regime,"H. Ibayashi, M. Imaizumi",Workshop on Functional Inference and Machine Intelligence,,2022/03/30,,,,,
2022,ポスター・デモ,国際,有,Why does SGD prefer flat minima?: Through the lens of dynamical systems,"Hikaru Ibayashi, Masaaki Imaizumi",AAAI WS When Machine Learning meets Dynamical Systems: Theory and Applications,,2023/02/13,,,,,
