成果発生年度,著作物種別,タイトル,著者,掲載誌,DOI,発行年月日,備考
2023,書籍,Elixir実践入門――基本文法、Web開発、機械学習、IoT,栗林 健太郎，大原 常徳，大聖寺 谷一樹，山内 修，齋藤 和也，隆藤 唯章，高瀬 英希,,,2024/02/24,
2023,書籍,人工知能とどうつきあうか: 哲学から考える,"鈴木 貴之, 柴田 崇, 今泉 允聡, 大塚 淳, 中澤 栄輔, 小野 哲雄, 植原 亮, 立花 幸司, 上杉 繁, 堀浩一, 関口 海良",人工知能とどうつきあうか: 哲学から考える,,2023/07/18,
2022,書籍,応用基礎としてのデータサイエンス AI×データ活用の実践,"赤穂 昭太郎, 今泉 允聡, 内田 誠一, 清 智也, 高野 渉, 辻 真吾, 原 尚幸, 久野 遼平, 松原 仁, 宮地 充子, 森畑 明昌, 宿久 洋",,,2023/02/16,
2021,書籍,ニューラルネットワークとディープラーニング,"Charu C.Aggarwal (著), 竹村 彰通, 今泉 允聡 (監修)",,,2022/03/30,
