成果発生年度,論文種別,国内/国際,タイトル,著者,掲載誌,DOI,発行年月日,掲載巻,掲載号,掲載開始ページ,掲載終了ページ,査読,論文ステータス区分,国際共著,備考
2022,研究論文（会議録、プロシーディングス）,国内,An Image Processing-BasedMotorcycle Detection Systemwith Infrared Markers and anOnboard Infrared Camera,"Tomoya Kitani,Yuki Inoue,HiroakiKitamura,TomoyaTerada,ShunsukeNagai",2022 JSAEAnnual Congress(Autumn)Proceedings,,2022/10/01,,102-22,1,2.0,無,published,無,
2022,研究論文（会議録、プロシーディングス）,国内,深層学習ベースの物体検出手法を用いて車載カメラ画像から交通環境内の二輪車を検出する際の学習モデルの構築方法の提案と検出性能の変化に関する実験評価,"中島 健介, 佐久間 尚紀, 市川倫太郎, 中安 淳也, 木谷 友哉",自動車技術会2022年秋季大会学術講演会 講演予稿集,,2022/10/01,,102-22,1,2.0,無,published,無,
2022,研究論文（会議録、プロシーディングス）,国内,関数型言語ElixirのROS 2クライアントライブラリRclexのIoTプラットフォームNervesへの対応,"細合 晋太郎, 高瀬 英希, 出分卓矢, 菊地 俊介",情報処理学会研究報告,,2023/03/16,2022-EMB-62,,,,無,published,無,
